iter	Accuracy	Logloss
0	0.5113875	0.6930829653
1	0.5138625	0.6930280166
2	0.5151	0.6929832648
3	0.5153875	0.6929766299
4	0.515175	0.6929613848
5	0.5161625	0.6929046238
6	0.516075	0.6929026384
7	0.517075	0.6928714484
8	0.51825	0.692832852
9	0.516725	0.6927974832
10	0.5165125	0.6927934341
11	0.5164375	0.6927851368
12	0.5162625	0.69278058
13	0.517675	0.6927444709
14	0.5176625	0.6927405585
15	0.5175375	0.6926924047
16	0.5188625	0.6926377378
17	0.51965	0.6926054374
18	0.5197625	0.6926041467
19	0.519625	0.6926040034
20	0.5200125	0.6925810348
21	0.519825	0.6925636343
22	0.5198125	0.6925362142
23	0.5195625	0.6925079048
24	0.51975	0.6924896942
25	0.519875	0.6924599147
26	0.5194125	0.6924402741
27	0.51945	0.6924374127
28	0.519425	0.692437356
29	0.5204	0.6924199048
30	0.52	0.6924131703
31	0.5198125	0.6924119222
32	0.519875	0.6923951458
33	0.52	0.6923481961
34	0.5203875	0.6923204793
35	0.520225	0.6922987988
36	0.519325	0.6922870995
37	0.5195125	0.6922722859
38	0.5201125	0.6922532364
39	0.520275	0.6922532183
40	0.5202875	0.6922454914
41	0.519875	0.6922209447
42	0.520325	0.6922124094
43	0.5214375	0.6921938925
44	0.52125	0.6921671547
45	0.5218125	0.6921424935
46	0.522475	0.6921320267
47	0.5241125	0.6920829441
48	0.5240875	0.6920626548
49	0.5242	0.692047063
50	0.52475	0.6920265282
51	0.5257375	0.6920072634
52	0.5256125	0.6919818788
53	0.526375	0.691950784
54	0.5264125	0.691913913
55	0.5264875	0.6918994229
56	0.526475	0.6918832094
57	0.5269125	0.6918696513
58	0.5268125	0.6918498167
59	0.526275	0.6918198584
60	0.5261125	0.6918020608
61	0.5265625	0.6917793687
62	0.5266625	0.6917518838
63	0.526475	0.6917393372
64	0.5266875	0.6917245187
65	0.526775	0.6917106013
66	0.5269375	0.6916989773
67	0.5271375	0.691674136
68	0.527225	0.6916730079
69	0.5271875	0.6916664197
70	0.5265	0.6916423125
71	0.526425	0.6916294546
72	0.526275	0.6915992485
73	0.526875	0.6915736693
74	0.5269625	0.6915631032
75	0.527225	0.6915556593
76	0.5276875	0.6915213815
77	0.5273875	0.6915066697
78	0.52755	0.691476791
79	0.5277875	0.6914759336
80	0.52695	0.6914526899
81	0.5272375	0.6914466708
82	0.5272125	0.6914342165
83	0.5285625	0.6913972626
84	0.52855	0.6913972611
85	0.5292875	0.6913781881
86	0.5294	0.6913672125
87	0.529175	0.6913542553
88	0.5292125	0.6913301462
89	0.52945	0.6913050455
90	0.5294125	0.6912824318
91	0.5295125	0.691259871
92	0.5298875	0.6912401178
93	0.5299	0.6912377873
94	0.529925	0.6912377872
95	0.529725	0.6912079889
96	0.5295625	0.6911934353
97	0.5295125	0.6911904127
98	0.5298375	0.6911619289
99	0.5302375	0.6911526588
100	0.53025	0.6911526588
101	0.5306625	0.6911292771
102	0.5305	0.6911091973
103	0.53065	0.6910924167
104	0.5308375	0.6910815613
105	0.5305125	0.691071658
106	0.530675	0.6910372151
107	0.5309	0.6910151497
108	0.532	0.6909799397
109	0.5321125	0.6909664458
110	0.53255	0.6909320572
111	0.532775	0.6909055107
112	0.5330875	0.6908885578
113	0.533025	0.6908759321
114	0.533075	0.6908598468
115	0.533	0.6908508531
116	0.5329875	0.6908327388
117	0.53295	0.6908164697
118	0.5333375	0.6907970357
119	0.533475	0.6907869445
120	0.5331875	0.6907862895
121	0.5332	0.6907797301
122	0.5335	0.6907621154
123	0.5337375	0.6907232009
124	0.5336625	0.6907227365
125	0.5339	0.6907148512
126	0.5341	0.690713474
127	0.53395	0.6907043241
128	0.53395	0.6907043212
129	0.5336875	0.6906834892
130	0.534	0.6906829457
131	0.533975	0.6906748844
132	0.5340625	0.6906627078
133	0.5340375	0.6906521613
134	0.5336875	0.6906167017
135	0.5338625	0.690601079
136	0.5338625	0.6906008448
137	0.533925	0.6905924548
138	0.533825	0.690574157
139	0.5339875	0.6905736053
140	0.5340125	0.6905601593
141	0.5342625	0.690541335
142	0.5347625	0.6905291439
143	0.5343125	0.69051734
144	0.534425	0.6905027612
145	0.534325	0.6904860379
146	0.5352375	0.6904658891
