iter	Passed	Remaining
0	400	199925
1	584	145541
2	760	125921
3	914	113435
4	1046	103580
5	1221	100589
6	1308	92155
7	1460	89842
8	1622	88495
9	1796	88041
10	1940	86262
11	2057	83674
12	2139	80132
13	2296	79726
14	2388	77223
15	2567	77674
16	2734	77701
17	2912	78002
18	3042	77028
19	3090	74166
20	3237	73847
21	3394	73758
22	3548	73593
23	3687	73134
24	3861	73367
25	4027	73423
26	4220	73929
27	4329	72982
28	4383	71188
29	4527	70932
30	4611	69763
31	4673	68344
32	4849	68626
33	5024	68869
34	5206	69175
35	5376	69295
36	5517	69039
37	5663	68852
38	5813	68714
39	5858	67376
40	5988	67039
41	6145	67013
42	6284	66789
43	6430	66641
44	6571	66441
45	6718	66308
46	6847	65996
47	7022	66131
48	7192	66200
49	7349	66147
50	7501	66046
51	7649	65906
52	7795	65744
53	7964	65779
54	8133	65804
55	8270	65571
56	8395	65247
57	8544	65115
58	8690	64958
59	8838	64814
60	8987	64682
61	9161	64724
62	9338	64773
63	9490	64652
64	9649	64575
65	9809	64507
66	9973	64458
67	10144	64446
68	10251	64033
69	10388	63815
70	10521	63571
71	10676	63463
72	10830	63351
73	11005	63356
74	11156	63220
75	11265	62848
76	11441	62855
77	11591	62714
78	11737	62550
79	11805	61980
80	11963	61883
81	12116	61763
82	12287	61733
83	12468	61750
84	12543	61239
85	12671	60998
86	12852	61010
87	12990	60819
88	13150	60729
89	13316	60662
90	13470	60545
91	13611	60363
92	13768	60257
93	13884	59968
94	13930	59387
95	14141	59510
96	14278	59321
97	14346	58848
98	14528	58849
99	14679	58719
100	14733	58203
101	14918	58212
102	15127	58305
103	15279	58178
104	15412	57979
105	15540	57763
106	15695	57649
107	15864	57582
108	16035	57523
109	16189	57399
110	16380	57406
111	16560	57370
112	16718	57257
113	16852	57060
114	16991	56884
115	17130	56707
116	17271	56539
117	17446	56480
118	17620	56416
119	17756	56229
120	17842	55886
121	17974	55690
122	18152	55637
123	18322	55559
124	18389	55167
125	18527	54994
126	18605	54643
127	18751	54496
128	18844	54197
129	19016	54123
130	19080	53746
131	19230	53611
132	19374	53461
133	19525	53330
134	19696	53252
135	19835	53088
136	19903	52737
137	20020	52517
138	20161	52360
139	20225	52009
140	20365	51852
141	20558	51831
142	20788	51899
143	20954	51804
144	21096	51650
145	21277	51590
146	21445	51499
147	21590	51350
148	21733	51197
149	21861	51010
150	22027	50910
151	22199	50825
152	22345	50679
153	22412	50356
154	22574	50246
155	22755	50178
156	22861	49945
157	23092	49985
158	23272	49910
159	23454	49840
160	23608	49710
161	23758	49571
162	23884	49381
163	23945	49058
164	24029	48788
165	24178	48647
166	24341	48537
167	24399	48218
168	24551	48085
169	24632	47815
170	24798	47712
171	24952	47584
172	25117	47476
173	25268	47341
174	25423	47215
175	25589	47108
176	25757	47003
177	25921	46890
178	26075	46760
179	26211	46597
180	26375	46484
181	26562	46411
182	26733	46309
183	26927	46244
184	26991	45958
185	27063	45687
186	27210	45544
187	27386	45449
188	27522	45288
189	27580	44999
190	27723	44851
191	27903	44761
192	28065	44642
193	28245	44552
194	28331	44312
195	28486	44182
196	28667	44092
