epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,937.337,1.34325,2.36892,1.84209,0.3796,0.57237,0.49989,0.21942,1.45949,3.43305,2.27991,0.000463459,0.000463459,0.000463459
2,2857.25,1.18911,1.96678,1.62265,0.2948,0.72368,0.49217,0.19632,1.68862,2.60921,3.07713,0.000921185,0.000921185,0.000921185
3,3559.44,1.25756,2.03798,1.72018,0.03506,0.84211,0.0444,0.02018,2.02617,15.1716,3.03101,0.00136005,0.00136005,0.00136005
4,4798.42,1.27096,1.70029,1.7062,0.36622,0.86842,0.39992,0.18471,1.7344,2.50921,2.87928,0.00134412,0.00134412,0.00134412
5,5493.32,1.33742,1.57383,1.74428,0.06768,0.51974,0.08101,0.04131,1.46034,7.06592,2.7593,0.00131582,0.00131582,0.00131582
6,5843.26,1.355,1.5315,1.77435,0.46537,0.46711,0.45269,0.20126,1.44464,2.64058,2.69004,0.00128753,0.00128753,0.00128753
7,6206.87,1.37741,1.5993,1.76703,0.55922,0.75755,0.55504,0.31877,1.51239,1.90148,2.46463,0.00125923,0.00125923,0.00125923
8,6572.46,1.31482,1.5363,1.73505,0.59189,0.63289,0.67727,0.31262,1.6931,2.0993,2.6924,0.00123094,0.00123094,0.00123094
9,6938.08,1.17995,1.32916,1.64045,0.64168,0.57663,0.57697,0.34361,1.36382,1.55044,2.25927,0.00120265,0.00120265,0.00120265
10,7301.47,1.20382,1.38938,1.63376,0.02716,0.875,0.02765,0.01676,1.34359,36.0783,2.18531,0.00117435,0.00117435,0.00117435
11,7664.5,1.13486,1.19051,1.54195,0.39558,0.43384,0.39195,0.15754,2.09066,2.36533,2.90935,0.00114606,0.00114606,0.00114606
12,8026.17,1.18174,1.19967,1.60817,0.71867,0.66753,0.76948,0.41641,1.45918,1.14866,2.33184,0.00111776,0.00111776,0.00111776
13,8389.37,1.07743,1.16962,1.53025,0.58155,0.875,0.66478,0.41294,1.32597,1.06176,2.25759,0.00108947,0.00108947,0.00108947
14,8754.57,1.2105,1.29485,1.62061,0.62856,0.78233,0.60554,0.28928,1.70892,1.45674,2.41609,0.00106118,0.00106118,0.00106118
15,9118.58,1.24161,1.25012,1.66196,0.44598,0.88293,0.61712,0.36153,1.43361,1.31668,2.35725,0.00103288,0.00103288,0.00103288
16,9479.28,1.05337,1.09609,1.49889,0.74569,0.80173,0.82255,0.49219,1.2794,1.17821,2.2297,0.00100459,0.00100459,0.00100459
17,9839.24,1.03101,1.06011,1.50486,0.67831,0.8472,0.78635,0.48413,1.26301,1.13493,2.15299,0.000976293,0.000976293,0.000976293
18,10202.6,1.03051,1.05453,1.48175,0.64353,0.85259,0.76981,0.48986,1.23166,1.06247,2.19084,0.000947999,0.000947999,0.000947999
19,10565.9,1.03275,1.02867,1.48277,0.39484,0.625,0.56894,0.34842,1.3034,1.0943,2.33833,0.000919704,0.000919704,0.000919704
20,10929.3,1.06282,1.09996,1.53872,0.45351,0.72368,0.69603,0.45916,1.28828,1.08446,2.15993,0.00089141,0.00089141,0.00089141
21,11290.4,1.065,1.03294,1.52209,0.75412,0.57237,0.64916,0.42115,1.37704,1.08718,2.40117,0.000863116,0.000863116,0.000863116
22,11627.1,0.97187,0.929,1.44215,0.61781,0.58667,0.64366,0.39381,1.51933,1.14203,2.59986,0.000834822,0.000834822,0.000834822
23,11852.3,0.97807,0.92364,1.45283,0.89763,0.8519,0.93516,0.56474,1.26681,0.81531,2.18584,0.000806528,0.000806528,0.000806528
24,12062.9,1.10699,1.24746,1.51902,0.89044,0.76996,0.90843,0.54145,1.3611,1.12869,2.22263,0.000778233,0.000778233,0.000778233
25,12272,0.99363,0.94852,1.48325,0.96477,0.67389,0.88462,0.51387,1.36926,1.65327,2.28327,0.000749939,0.000749939,0.000749939
26,12482.3,1.01893,0.95114,1.48665,0.7176,0.82237,0.7855,0.48062,1.26725,0.89381,2.18321,0.000721645,0.000721645,0.000721645
27,12698.5,0.9739,0.96062,1.48847,0.68881,0.82237,0.82659,0.47068,1.27346,0.84467,2.20754,0.000693351,0.000693351,0.000693351
28,12907.4,0.97813,0.87384,1.46726,0.84933,0.69875,0.90625,0.50572,1.23406,1.04266,2.17399,0.000665057,0.000665057,0.000665057
29,13117.2,0.98014,0.93433,1.44958,0.97282,0.81013,0.91044,0.59002,1.34742,0.8016,2.38111,0.000636762,0.000636762,0.000636762
30,13327.1,0.91584,0.82647,1.41972,0.97276,0.82843,0.89859,0.55814,1.39001,0.78852,2.52613,0.000608468,0.000608468,0.000608468
31,13538.1,0.942,0.83729,1.44056,0.84813,0.84047,0.86889,0.50205,1.40204,0.84145,2.60176,0.000580174,0.000580174,0.000580174
32,13750,0.94837,0.85189,1.42129,0.92978,0.95205,0.98848,0.57934,1.35063,0.737,2.41515,0.00055188,0.00055188,0.00055188
33,13960.5,0.84474,0.8075,1.37379,0.90205,0.87436,0.88084,0.50146,1.37689,0.82755,2.40785,0.000523586,0.000523586,0.000523586
34,14167.9,0.91375,0.82318,1.40856,0.84216,0.81768,0.8726,0.49796,1.29922,0.84948,2.35316,0.000495291,0.000495291,0.000495291
35,14375,0.88257,0.80389,1.36375,0.8605,0.73846,0.86475,0.47486,1.36979,0.91827,2.45435,0.000466997,0.000466997,0.000466997
36,23558.1,0.86268,0.77142,1.36449,0.81967,0.70779,0.91165,0.50015,1.32129,0.88022,2.43637,0.000438703,0.000438703,0.000438703
37,23913.8,0.80123,0.73969,1.31271,0.96205,0.93909,0.9913,0.55147,1.30231,0.66514,2.40604,0.000410409,0.000410409,0.000410409
38,24276,0.8408,0.74588,1.34638,0.91078,0.875,0.93802,0.55288,1.34439,0.68556,2.41629,0.000382115,0.000382115,0.000382115
39,24636.6,0.80621,0.74367,1.29384,0.93644,0.875,0.94808,0.56567,1.37466,0.67725,2.44986,0.00035382,0.00035382,0.00035382
40,24994.4,0.80336,0.73409,1.33331,0.97047,1,0.99375,0.56799,1.34301,0.64232,2.443,0.000325526,0.000325526,0.000325526
41,25352.2,0.76772,0.67817,1.45446,0.93689,0.97998,0.99262,0.57219,1.36629,0.71955,2.4386,0.000297232,0.000297232,0.000297232
42,25707.4,0.76667,0.66249,1.42726,0.81641,0.84123,0.90108,0.57596,1.29395,0.77579,2.28598,0.000268938,0.000268938,0.000268938
43,26068.1,0.68602,0.57426,1.40868,0.71986,0.97368,0.86525,0.52668,1.29828,0.81559,2.28036,0.000240644,0.000240644,0.000240644
44,26416.9,0.69902,0.69404,1.38379,0.68259,0.97368,0.79499,0.45828,1.29261,0.81318,2.3007,0.000212349,0.000212349,0.000212349
45,26763.5,0.67521,0.5612,1.35931,0.65484,0.94737,0.76998,0.48943,1.28981,0.85121,2.22844,0.000184055,0.000184055,0.000184055
46,27109.5,0.64811,0.53905,1.31249,0.62561,0.96443,0.77192,0.48612,1.29867,0.86239,2.24438,0.000155761,0.000155761,0.000155761
47,27454.2,0.64576,0.52495,1.31774,0.66503,0.97368,0.79348,0.48227,1.33473,0.87463,2.30182,0.000127467,0.000127467,0.000127467
48,27801.7,0.62572,0.55723,1.32413,0.68621,0.93953,0.81745,0.5127,1.34116,0.87055,2.33448,9.91726e-05,9.91726e-05,9.91726e-05
49,28146.2,0.63693,0.54035,1.2871,0.69107,0.99613,0.83093,0.49857,1.31498,0.84068,2.3317,7.08784e-05,7.08784e-05,7.08784e-05
50,28459,0.64141,0.54447,1.27445,0.65761,1,0.83793,0.49641,1.32951,0.83089,2.35001,4.25842e-05,4.25842e-05,4.25842e-05
